1,2,3,4
0.109,0.19,0.226,0.174896667
0.112,0.206,0.228,0.18195
0.114,0.219,0.236,0.189553333
0.117,0.224,0.242,0.19432
0.117,0.224,0.248,0.196563333
0.117,0.238,0.25,0.20171
0.127,0.271,0.256,0.217826667
0.149,0.295,0.264,0.236186667
0.171,0.318,0.277,0.255443333
0.165,0.325,0.296,0.26213
0.16,0.329,0.321,0.270093333
0.175,0.351,0.345,0.290466667
0.184,0.392,0.365,0.31346
0.192,0.433,0.392,0.338856667
0.203,0.483,0.426,0.370793333
0.238,0.547,0.455,0.413286667
0.286,0.604,0.489,0.45944
0.325,0.644,0.535,0.50146
0.357,0.682,0.59,0.5429
0.383,0.712,0.642,0.57912
0.402,0.731,0.691,0.608256667
0.424,0.747,0.739,0.63676
0.445,0.758,0.775,0.65959
0.465,0.765,0.801,0.67689
0.484,0.766,0.819,0.68978
0.504,0.767,0.836,0.702503333
0.525,0.767,0.85,0.713926667
0.543,0.769,0.866,0.7257
0.55,0.77,0.881,0.733433333
0.55,0.77,0.896,0.738883333
0.543,0.768,0.91,0.740063333
0.529,0.746,0.917,0.73055
0.503,0.681,0.908,0.69729
0.444,0.59,0.888,0.64075
0.358,0.498,0.868,0.57473
0.285,0.432,0.844,0.52031
0.233,0.417,0.818,0.488906667
0.194,0.401,0.796,0.463823333
0.173,0.386,0.785,0.448083333
0.175,0.406,0.79,0.457063333
0.177,0.422,0.796,0.464943333
0.162,0.392,0.789,0.447766667
0.137,0.356,0.779,0.424006667
0.112,0.319,0.767,0.39903
0.092,0.266,0.761,0.37305
0.086,0.221,0.758,0.354846667
0.088,0.197,0.747,0.34414
0.098,0.196,0.731,0.341643333
0.115,0.213,0.713,0.34703
0.143,0.236,0.688,0.355373333
0.18,0.264,0.66,0.36803
0.209,0.264,0.629,0.366923333
0.251,0.261,0.613,0.375243333
0.298,0.271,0.616,0.395043333
0.335,0.281,0.636,0.417603333
0.364,0.272,0.66,0.43219
0.404,0.258,0.672,0.4445
0.441,0.229,0.665,0.44507
0.508,0.212,0.65,0.456353333
0.596,0.212,0.625,0.47783
0.676,0.198,0.592,0.488663333
0.733,0.146,0.555,0.478256667
0.759,0.144,0.523,0.47519
0.777,0.195,0.496,0.489446667
0.776,0.209,0.47,0.485046667
0.756,0.191,0.451,0.465696667
0.705,0.161,0.444,0.43653
0.625,0.121,0.453,0.399623333
0.523,0.096,0.475,0.36475
0.409,0.103,0.509,0.34044
0.317,0.128,0.538,0.327936667
0.263,0.144,0.562,0.32291
0.233,0.147,0.582,0.320916667
0.199,0.132,0.587,0.306036667
0.17,0.118,0.588,0.291913333
0.145,0.125,0.573,0.281166667
0.13,0.141,0.564,0.278353333
0.116,0.134,0.552,0.267336667
0.107,0.118,0.544,0.25638
0.099,0.11,0.527,0.245176667
0.092,0.112,0.507,0.23706
0.088,0.105,0.477,0.223186667
0.085,0.083,0.472,0.21335
0.088,0.065,0.483,0.21199
0.088,0.053,0.495,0.21229
0.087,0.039,0.493,0.206356667
0.086,0.031,0.489,0.20216
0.087,0.028,0.486,0.200076667
0.09,0.026,0.47,0.195253333
0.091,0.034,0.429,0.184873333
0.089,0.049,0.383,0.17359
0.085,0.071,0.344,0.166766667
0.079,0.093,0.319,0.16363
0.075,0.104,0.31,0.162743333
0.071,0.098,0.31,0.159953333
0.069,0.086,0.312,0.155823333
0.067,0.082,0.315,0.154626667
0.064,0.09,0.322,0.158716667
0.059,0.113,0.339,0.170176667
0.051,0.125,0.365,0.18025
0.048,0.124,0.392,0.18782
0.049,0.116,0.403,0.18948
0.052,0.111,0.399,0.18714
0.057,0.11,0.376,0.180903333
0.058,0.103,0.341,0.16742
0.052,0.094,0.299,0.14844
0.047,0.086,0.261,0.131433333
0.042,0.078,0.23,0.116853333
0.037,0.072,0.201,0.103376667
0.035,0.069,0.167,0.090436667
0.034,0.074,0.139,0.082253333
0.041,0.084,0.113,0.079236667
0.05,0.094,0.088,0.077693333
0.056,0.098,0.067,0.07346
